userid,itemid,rating,Time,Location,Companion
1123,tt1499658,1,NA,NA,NA
1123,tt0405422,1,NA,NA,NA
1123,tt0109830,1,NA,NA,NA
1123,tt0088763,1,NA,NA,NA
1123,tt0133093,1,NA,NA,NA
1090,tt0800369,1,NA,NA,NA
1090,tt0407304,1,NA,NA,NA
1090,tt0266543,1,NA,NA,NA
1090,tt1632708,1,NA,NA,NA
1090,tt4052394,1,NA,NA,NA
1090,tt1596343,1,NA,NA,NA
1090,tt2574698,1,NA,NA,NA
1090,tt0454848,1,NA,NA,NA
1088,tt0405422,1,NA,NA,NA
1088,tt0378194,1,NA,NA,NA
1088,tt0211915,1,NA,NA,NA
1088,tt0169547,1,NA,NA,NA
1088,tt0133093,1,NA,NA,NA
1110,tt0454876,1,NA,NA,NA
1110,tt0181689,1,NA,NA,NA
1110,tt0120912,1,NA,NA,NA
1110,tt0356910,1,NA,NA,NA
1110,tt3637328,1,NA,NA,NA
1110,tt1657301,1,NA,NA,NA
1110,tt1657301,1,NA,NA,NA
1110,tt0319262,1,NA,NA,NA
1017,tt1190080,1,NA,NA,NA
1017,tt1369829,1,NA,NA,NA
1017,tt0454876,1,NA,NA,NA
1017,tt0181689,1,NA,NA,NA
1017,tt0120912,1,NA,NA,NA
1021,tt0454876,1,NA,NA,NA
1021,tt0319262,1,NA,NA,NA
1021,tt0120338,1,NA,NA,NA
1021,tt0289879,1,NA,NA,NA
1021,tt1099212,1,NA,NA,NA
1021,tt0114148,1,NA,NA,NA
1021,tt0088763,1,NA,NA,NA
1021,tt0110475,1,NA,NA,NA
1095,tt2096673,1,NA,NA,NA
1095,tt0111161,1,NA,NA,NA
1095,tt0147800,1,NA,NA,NA
1095,tt1478338,1,NA,NA,NA
1095,ttnanana2,1,NA,NA,NA
1095,tt3254460,1,NA,NA,NA
1095,tt2557490,1,NA,NA,NA
1095,tt1924435,1,NA,NA,NA
1095,tt0138097,1,NA,NA,NA
1095,tt3510098,1,NA,NA,NA
1106,tt1657301,1,NA,NA,NA
1106,tt0319262,1,NA,NA,NA
1106,tt3793764,1,NA,NA,NA
1106,tt0800369,1,NA,NA,NA
1106,tt0407304,1,NA,NA,NA
1106,tt0120912,1,NA,NA,NA
1106,tt0356910,1,NA,NA,NA
1106,tt3637328,1,NA,NA,NA
1102,tt0181689,1,NA,NA,NA
1102,tt1657301,1,NA,NA,NA
1102,tt0319262,1,NA,NA,NA
1102,tt0800369,1,NA,NA,NA
1102,tt0268380,1,NA,NA,NA
1102,tt3637328,1,NA,NA,NA
1102,tt0266543,1,NA,NA,NA
1102,tt0327084,1,NA,NA,NA
1117,tt3254460,1,NA,NA,NA
1117,tt0110357,1,NA,NA,NA
1117,tt0462538,1,NA,NA,NA
1117,tt0405422,1,NA,NA,NA
1117,tt1707386,1,NA,NA,NA
1117,tt0120338,1,NA,NA,NA
1117,tt3510098,1,NA,NA,NA
1117,tt1375666,1,NA,NA,NA
1117,tt0133093,1,NA,NA,NA
1091,tt3793764,1,NA,NA,NA
1091,tt2096673,1,NA,NA,NA
1091,tt0462538,1,NA,NA,NA
1091,tt0114369,1,NA,NA,NA
1091,tt0111161,1,NA,NA,NA
1091,tt0993846,1,NA,NA,NA
1091,tt0088763,1,NA,NA,NA
1091,tt0289879,1,NA,NA,NA
1091,tt3637328,1,NA,NA,NA
1091,tt0407304,1,NA,NA,NA
1091,tt1924435,1,NA,NA,NA
1091,tt0382625,1,NA,NA,NA
1091,tt0376541,1,NA,NA,NA
1091,tt0120338,1,NA,NA,NA
1091,tt1133985,1,NA,NA,NA
1091,tt1099212,1,NA,NA,NA
1025,tt0213149,1,NA,NA,NA
1025,tt0413267,1,NA,NA,NA
1025,tt4411490,1,NA,NA,NA
1025,tt0382625,1,NA,NA,NA
1025,tt0147800,1,NA,NA,NA
1025,tt0109830,1,NA,NA,NA
1025,tt0088763,1,NA,NA,NA
1025,tt0133093,1,NA,NA,NA
1025,tt0800369,1,NA,NA,NA
1025,ttnanana1,1,NA,NA,NA
1025,tt0211915,1,NA,NA,NA
1025,tt1707386,1,NA,NA,NA
1025,tt4052394,1,NA,NA,NA
1025,tt1055369,1,NA,NA,NA
