SESSIONID USERID REQUESTDATE REQUESTEDURL band_id music_genre instrumental
3515 3515 11:49:32 h:pith_e_simony_manu d:38675 d:r_b d:0
3515 3515 19:34:55 h:crucificaa_a_o d:43862 d:rap_hip_hop d:0
3515 3515 19:19:56 h:louve_1 d:43862 d:rap_hip_hop d:0
3515 3515 11:42:39 h:smooth_sample d:38675 d:r_b d:1
3515 3515 11:26:08 h:incognita d:38675 d:r_b d:1
3515 3515 21:44:55 h:toda_honra_remix d:43862 d:rap_hip_hop d:0
3515 3515 10:38:43 h:emissa_rio_pretto_pontez_dia_genes d:34453 d:rap_hip_hop d:0
3515 3515 11:48:51 h:base_lr_mix_mp3 d:38675 d:r_b d:1
1675 1675 09:33:13 h:7a_andar d:37301 d:rock d:0
1675 1675 07:35:33 h:quem_me_dera_1 d:37301 d:rock d:0
1675 1675 07:59:00 h:acreditar_ao_vivo d:37301 d:rock d:0
1675 1675 08:21:36 h:7a_andar_toque_tlm d:37301 d:rock d:0
1675 1675 07:11:13 h:desalinhado d:37301 d:rock d:0
3921 3921 11:45:53 h:7a_andar d:37301 d:rock d:0
3921 3921 11:45:53 h:quem_me_dera_1 d:37301 d:rock d:0
3921 3921 11:45:53 h:7a_andar_toque_tlm d:37301 d:rock d:0
3921 3921 11:45:53 h:desalinhado d:37301 d:rock d:0
4040 4040 12:06:43 h:7a_andar d:37301 d:rock d:0
4040 4040 12:06:44 h:sera_ao_vivo d:37301 d:rock d:0
4040 4040 12:06:44 h:quem_me_dera_1 d:37301 d:rock d:0
4040 4040 12:06:44 h:acreditar_ao_vivo d:37301 d:rock d:0
4040 4040 12:06:43 h:7a_andar_toque_tlm d:37301 d:rock d:0
4040 4040 12:06:44 h:desalinhado d:37301 d:rock d:0
4722 4722 21:20:54 h:7a_andar d:37301 d:rock d:0
4722 4722 21:20:54 h:sera_ao_vivo d:37301 d:rock d:0
4722 4722 14:12:49 h:quem_me_dera_1 d:37301 d:rock d:0
4722 4722 21:20:54 h:acreditar_ao_vivo d:37301 d:rock d:0
4722 4722 14:12:49 h:desalinhado d:37301 d:rock d:0
245 245 09:13:33 h:beat_levezinho_2009_dj_leo_dj_drix d:40059 d:outro d:1
245 245 22:20:18 h:na_descontra_prod_bebuxo d:42557 d:rap_hip_hop d:1
245 245 22:06:31 h:puto_mangas_fuck_icelatino_2 d:38468 d:rap_hip_hop d:1
245 245 22:29:03 h:culpado d:39639 d:rap_hip_hop d:1
245 245 12:29:46 h:a_toda_a_hora_tibaria d:40294 d:rap_hip_hop d:1
245 245 22:22:26 h:a_da_hora_2008_dj_cratera_dj_drix d:40059 d:outro d:1
245 245 22:42:20 h:02_djas_di_street_krew_2008_dj_ka_nada_for_all_my_friends d:43371 d:outro d:1
245 245 06:58:35 h:mafia_crew_nao_se_passa_nada_mp3 d:38041 d:rap_hip_hop d:1
245 245 22:31:13 h:big_love d:41019 d:rap_hip_hop d:1
245 245 07:45:53 h:vcs_na_o_ta_o_preparados_feat_hc d:35514 d:rap_hip_hop d:0
245 245 23:25:15 h:hoo_nylon_beat_produced_da_veiga d:42337 d:rap_hip_hop d:1
245 245 13:46:21 h:digaz_depressa_o_ate_um_dia_ai_no_ceu d:36985 d:rap_hip_hop d:0
245 245 13:36:06 h:wine_soldiers d:40294 d:rap_hip_hop d:1
245 245 23:06:03 h:sempre_foi_assim_2008 d:42759 d:r_b d:1
245 245 22:42:20 h:08_djas_di_street_krew_2008_dj_k_l_feat_dj_master_g_sem_txoru d:43371 d:outro d:1
245 245 11:32:14 h:freestyle_dj_shark_ft_2pac_50cent_justin_timberlake d:39426 d:electronica_dance d:1
245 245 23:02:17 h:dj_shark_remember_2007 d:39426 d:electronica_dance d:1
245 245 22:52:29 h:dilemas_da_vida_mk d:37618 d:outro d:1
245 245 22:42:17 h:kjr_diurne_dih_a_o_fumo_hiphop_streetz d:43921 d:rap_hip_hop d:1
245 245 09:05:51 h:positive_ft_real_mc_mentalizado_azteka_festa_e_nossa d:38025 d:outro d:1
245 245 10:41:34 h:stealth_mudana_a_beat d:39472 d:rap_hip_hop d:1
245 245 13:37:38 h:mortex_dominusfamilia_underground_ii d:37170 d:rap_hip_hop d:1
245 245 21:32:05 h:calabria_mix_ed d:42939 d:electronica_dance d:1
245 245 22:52:29 h:sou_o_que_quiseres_mk d:37618 d:outro d:1
245 245 22:49:40 h:dj_dom_i_miss_you d:37761 d:electronica_dance d:1
245 245 23:23:05 h:objectivo_final d:39803 d:rap_hip_hop d:1
245 245 15:10:00 h:movimento_ft_dimeu d:39449 d:rap_hip_hop d:1
245 245 22:07:26 h:declaraa_a_o_de_amor d:42590 d:rap_hip_hop d:0
245 245 09:44:38 h:revoltado_eu_faa_o_hiphop_mixtape_poet d:33754 d:rap_hip_hop d:1
245 245 21:14:10 h:aleca_johnny_blaze_mais_tu_perdest d:43527 d:rap_hip_hop d:0
245 245 10:44:56 h:kero_t_pra_mim d:37917 d:rap_hip_hop d:0
245 245 22:46:13 h:o_meu_diario_fugitivo_ft_caramelo d:43524 d:rap_hip_hop d:1
245 245 23:00:18 h:distinto_ft_major_eterna_amada d:38666 d:rap_hip_hop d:1
245 245 23:25:17 h:hoz_ft_higuitta_kritiko_vidas d:35913 d:rap_hip_hop d:0
245 245 22:52:29 h:jo_yo_sabes_o_que_vales_prod_xoye d:7106 d:null d:0
245 245 10:16:08 h:fuck_side_j_incompleto_hugo_ge_puto_mk d:38987 d:rap_hip_hop d:0
245 245 16:29:14 h:um_dos_meus_loops_com_delacruz d:34019 d:outro d:1
245 245 23:25:15 h:reggaeton_beat_produced_da_veiga d:42337 d:rap_hip_hop d:1
245 245 08:27:07 h:amor_emocional_kutegash_produa_a_es_2008 d:41145 d:outro d:1
245 245 19:30:45 h:tu_a_s d:42116 d:rap_hip_hop d:1
245 245 22:49:30 h:falar_de_mim_a_fa_cil d:40811 d:rap_hip_hop d:0
245 245 22:06:41 h:for_my_lady_2008_dj_drix d:40059 d:outro d:1
245 245 23:05:23 h:criminal_g_la_grimas d:36402 d:rap_hip_hop d:1
245 245 23:16:12 h:infiltrado_ft_inato_onde_anda_a_policia_1 d:41685 d:rap_hip_hop d:1
245 245 08:01:47 h:volta_para_mim_ft_sofia_2008 d:41145 d:outro d:1
245 245 11:43:37 h:asher_momentos_da_vida_promo_2007 d:37127 d:rap_hip_hop d:0
245 245 09:19:06 h:joana_homenagem d:41587 d:rap_hip_hop d:1
245 245 12:21:48 h:tamawitah_es_essencial d:37127 d:rap_hip_hop d:1
245 245 22:42:20 h:royal_ma_fia_novos_tempos d:38562 d:rap_hip_hop d:1
245 245 20:48:50 h:beat_mafiacrew_mp3 d:38041 d:rap_hip_hop d:1
245 245 09:37:26 h:o_amor_a_raro d:40811 d:rap_hip_hop d:0
245 245 22:08:53 h:conselhos_maus_ze_e_miker d:40437 d:rap_hip_hop d:0
245 245 07:10:14 h:na_o_ha_mais_amor_ft_ikaruz_ntk d:43474 d:r_b d:1
245 245 22:58:48 h:ikaruz_ntk_ft_dianna_eu_preciso_de_ti_2008 d:43297 d:r_b d:1
245 245 08:56:46 h:foi_como_calhou_ft_spm_mrk d:40346 d:outro d:1
245 245 22:42:20 h:princesa_quero_te_aqui d:40811 d:rap_hip_hop d:0
245 245 09:45:48 h:foi_assim_1 d:40811 d:rap_hip_hop d:0
245 245 07:43:33 h:mais_um_dia_de_school d:40521 d:outro d:1
245 245 21:31:47 h:amor_sem_dilemas_ft_rookie_m2_2008 d:41145 d:outro d:1
245 245 17:38:48 h:como_foste_capaz_ft_spm d:40346 d:outro d:1
245 245 10:42:04 h:pode_crer d:37364 d:rap_hip_hop d:0
245 245 22:22:26 h:aquela_unidade_2008_dj_drix_dj_cratera d:40059 d:outro d:1
245 245 19:22:24 h:puto_da_street_mais_uma_produa_a_o d:39970 d:rap_hip_hop d:1
245 245 15:33:08 h:tao_perto_mas_tao_longe d:39243 d:r_b d:1
245 245 21:27:28 h:brabo_rm_ma_kuze_kes_ata_papia d:36888 d:rap_hip_hop d:1
245 245 22:51:44 h:dj_dom_ft_kurd_maverick_calab_ria_2008 d:37761 d:electronica_dance d:1
245 245 20:57:23 h:este_e_o_momento_the_manos_a_r d:40158 d:outro d:0
245 245 12:35:53 h:coraa_oes_despedaa_ados_tropas_ft_cheetif_art_de_rue_dedicado_kika_titax_anna_lucia d:37223 d:rap_hip_hop d:0
245 245 23:16:12 h:ku_mi_nau d:36224 d:rap_hip_hop d:1
245 245 20:36:06 h:johnny_blaze_aleca_um_dia d:43527 d:rap_hip_hop d:0
245 245 14:15:36 h:mae_abandonada_200_8_mc_caramelo d:43524 d:rap_hip_hop d:1
245 245 13:53:16 h:digaz_feat_jo_yo_preconceito_social d:36985 d:rap_hip_hop d:0
245 245 22:42:20 h:young_blood_is_back d:43143 d:rap_hip_hop d:1
245 245 09:26:17 h:mc_miru_ft_mc_icelatino_sa_fuck_babilone d:38506 d:rap_hip_hop d:0
245 245 13:52:01 h:my_little_guide_star_ft_mind d:39509 d:r_b d:1
245 245 06:26:23 h:buraka_mix_part_2 d:39426 d:electronica_dance d:1
245 245 22:20:28 h:ku_trance_2008 d:42805 d:outro d:1
245 245 22:22:26 h:calabria_vs_rise_up_babylon_mix d:39105 d:electronica_dance d:1
245 245 17:43:01 h:welcome_ls d:40811 d:rap_hip_hop d:0
245 245 22:52:20 h:mc_babi_sente_enta_o d:33887 d:rap_hip_hop d:0
245 245 10:17:32 h:asher_ft_ruby_c_bomb_putos_di_ghetto d:37127 d:rap_hip_hop d:1
245 245 15:33:43 h:nos_vida_tchoras_e_zafa d:40437 d:rap_hip_hop d:0
245 245 21:17:57 h:brabo_no_mike_brincadeira d:36888 d:rap_hip_hop d:1
245 245 14:46:19 h:kaiman_mad_v_metaforico_e_babu_do_que_falo d:36365 d:rap_hip_hop d:1
245 245 09:41:48 h:vida_sabi d:37252 d:rap_hip_hop d:1
245 245 10:35:00 h:fuck_off_katchorras_canuca_ft_isek d:37063 d:rap_hip_hop d:1
245 245 23:27:04 h:beat_mafia_drunk_psy_mp3 d:39515 d:rap_hip_hop d:1
245 245 07:02:31 h:sinto_me_ta_o_leve_2008 d:40849 d:rap_hip_hop d:0
245 245 13:02:08 h:g_foxx_groupies_2007 d:40143 d:rap_hip_hop d:1
245 245 10:12:18 h:double_r_boyz_dreams d:37322 d:electronica_dance d:1
245 245 10:55:23 h:fakes_i_reais d:38712 d:rap_hip_hop d:0
245 245 12:41:29 h:mafia_crew_a_toda_a_hora_tibaria d:36406 d:rap_hip_hop d:1
245 245 22:52:20 h:mc_babi_ft_spm_a_s_um_wack d:33887 d:rap_hip_hop d:0
245 245 07:33:08 h:sente_agora d:36974 d:rap_hip_hop d:1
245 245 23:25:17 h:piano_bass_beat_da_veiga_1 d:42337 d:rap_hip_hop d:1
245 245 17:27:44 h:6_thefive_kutegash d:37618 d:outro d:1
245 245 17:57:12 h:bloco111_canti_gas_do_monte d:43645 d:rap_hip_hop d:1
245 245 08:01:35 h:p_unit_p_ivo_ft_kjr_dih_ak_viver_na_tuga_street_nology_p_unit_productionz_m_p3 d:37833 d:rap_hip_hop d:1
245 245 13:26:05 h:o_meu_destino_2008 d:40811 d:rap_hip_hop d:0
245 245 22:11:35 h:layah_ntk_ghetto_style d:37623 d:rap_hip_hop d:0
245 245 10:37:36 h:nidenidi_mc_miru_mc_icelatino_mc_skorpion_dread_lex_street_live d:36790 d:rap_hip_hop d:0
245 245 10:59:12 h:vida_injusta_1 d:39800 d:rap_hip_hop d:0
245 245 22:07:26 h:dezabafo d:42590 d:rap_hip_hop d:1
245 245 09:58:11 h:so_sexy_babylon_mix d:39105 d:electronica_dance d:1
245 245 10:06:12 h:01_intro_mixtape_ideias_expressadas d:38413 d:rap_hip_hop d:0
245 245 22:07:26 h:a_vida_que_ele_escolheu d:42590 d:rap_hip_hop d:1
245 245 22:42:20 h:dj_djony_super_creu_aguentas_duvido d:39556 d:outro d:1
245 245 18:18:14 h:relaa_ao_chegou_ao_fim d:36872 d:rap_hip_hop d:1
245 245 23:25:15 h:piano_love_beat_inacabado_da_veiga d:42337 d:rap_hip_hop d:1
245 245 22:42:17 h:dih_o_rap_que_eu_falo_subraxblock d:43921 d:rap_hip_hop d:1
245 245 22:56:47 h:cypher_one_drc_querer_voltar_letra_drc d:42928 d:outro d:1
245 245 16:40:56 h:o_meu_lado_negro_mortex_2006_old_school_street_rimes d:37729 d:rap_hip_hop d:0
245 245 22:52:29 h:zbi_feat_jo_yo_digaz_old_family_1 d:7106 d:null d:0
245 245 09:19:38 h:wng_mc_icelatino d:38203 d:rap_hip_hop d:0
245 245 07:10:59 h:sem_ti_ft_ntk_ikaruz_mind d:43474 d:r_b d:1
245 245 10:24:51 h:rock_this_party2007_baby_lon_remix d:39105 d:electronica_dance d:1
245 245 23:27:04 h:beatdrunkmafia_karkelobebado_mp3 d:39515 d:rap_hip_hop d:1
245 245 22:24:55 h:dj_shark_kiza_ki_rabenta_kus_bo_f_t_dj_sticky d:39426 d:electronica_dance d:1
245 245 10:17:32 h:ntk_da_me_a_oportunidade_2007 d:37127 d:rap_hip_hop d:0
245 245 07:49:40 h:kjr_raa_as d:36792 d:rap_hip_hop d:1
245 245 10:17:32 h:mc_ciganita_xungaria_falsificada d:38028 d:rap_hip_hop d:0
245 245 21:33:26 h:the_natural_of_sound d:39255 d:electronica_dance d:1
245 245 22:52:29 h:10_sem_ti_na_o_da_kutegash_ft_hm d:37618 d:outro d:1
245 245 11:18:03 h:jana_park_krew_disparo_rimas d:38439 d:rap_hip_hop d:0
245 245 13:28:14 h:que_sa_foda_o_resto_lirikal_brothers d:38259 d:outro d:1
245 245 22:50:09 h:e_de_partir_as_vossas_colunas d:35050 d:outro d:1
245 245 22:50:22 h:morgadex_friko_sirkill_dimen_new_infiltrado_puro_ataque_verbal_1 d:41685 d:rap_hip_hop d:1
245 245 12:40:58 h:ca_bo_tchora d:40570 d:rap_hip_hop d:1
245 245 22:52:29 h:digaz_jo_yo_bela_adormecida_1 d:7106 d:null d:0
245 245 10:21:01 h:dj_lil_thug_nta_amabu_remix_love_2008 d:39460 d:alternativa d:1
245 245 21:28:17 h:puto_da_street_um_giro_pela_m_s_margem_sul d:39970 d:rap_hip_hop d:1
245 245 22:46:13 h:original_style_2_ntk_silva_ikaruz d:41935 d:rap_hip_hop d:0
