userid,itemid,rating,band_id,music_genre,instrumental
3515,h:pith_e_simony_manu,1,d:38675,d:r_b,d:0
3515,h:crucificaa_a_o,1,d:43862,d:rap_hip_hop,d:0
3515,h:louve_1,1,d:43862,d:rap_hip_hop,d:0
3515,h:smooth_sample,1,d:38675,d:r_b,d:1
3515,h:incognita,1,d:38675,d:r_b,d:1
3515,h:toda_honra_remix,1,d:43862,d:rap_hip_hop,d:0
3515,h:emissa_rio_pretto_pontez_dia_genes,1,d:34453,d:rap_hip_hop,d:0
3515,h:base_lr_mix_mp3,1,d:38675,d:r_b,d:1
1675,h:7a_andar,1,d:37301,d:rock,d:0
1675,h:quem_me_dera_1,1,d:37301,d:rock,d:0
1675,h:acreditar_ao_vivo,1,d:37301,d:rock,d:0
1675,h:7a_andar_toque_tlm,1,d:37301,d:rock,d:0
1675,h:desalinhado,1,d:37301,d:rock,d:0
3921,h:7a_andar,1,d:37301,d:rock,d:0
3921,h:quem_me_dera_1,1,d:37301,d:rock,d:0
3921,h:7a_andar_toque_tlm,1,d:37301,d:rock,d:0
3921,h:desalinhado,1,d:37301,d:rock,d:0
4040,h:7a_andar,1,d:37301,d:rock,d:0
4040,h:sera_ao_vivo,1,d:37301,d:rock,d:0
4040,h:quem_me_dera_1,1,d:37301,d:rock,d:0
4040,h:acreditar_ao_vivo,1,d:37301,d:rock,d:0
4040,h:7a_andar_toque_tlm,1,d:37301,d:rock,d:0
4040,h:desalinhado,1,d:37301,d:rock,d:0
4722,h:7a_andar,1,d:37301,d:rock,d:0
4722,h:sera_ao_vivo,1,d:37301,d:rock,d:0
4722,h:quem_me_dera_1,1,d:37301,d:rock,d:0
4722,h:acreditar_ao_vivo,1,d:37301,d:rock,d:0
4722,h:desalinhado,1,d:37301,d:rock,d:0
245,h:beat_levezinho_2009_dj_leo_dj_drix,1,d:40059,d:outro,d:1
245,h:na_descontra_prod_bebuxo,1,d:42557,d:rap_hip_hop,d:1
245,h:puto_mangas_fuck_icelatino_2,1,d:38468,d:rap_hip_hop,d:1
245,h:culpado,1,d:39639,d:rap_hip_hop,d:1
245,h:a_toda_a_hora_tibaria,1,d:40294,d:rap_hip_hop,d:1
245,h:a_da_hora_2008_dj_cratera_dj_drix,1,d:40059,d:outro,d:1
245,h:02_djas_di_street_krew_2008_dj_ka_nada_for_all_my_friends,1,d:43371,d:outro,d:1
245,h:mafia_crew_nao_se_passa_nada_mp3,1,d:38041,d:rap_hip_hop,d:1
245,h:big_love,1,d:41019,d:rap_hip_hop,d:1
245,h:vcs_na_o_ta_o_preparados_feat_hc,1,d:35514,d:rap_hip_hop,d:0
245,h:hoo_nylon_beat_produced_da_veiga,1,d:42337,d:rap_hip_hop,d:1
245,h:digaz_depressa_o_ate_um_dia_ai_no_ceu,1,d:36985,d:rap_hip_hop,d:0
245,h:wine_soldiers,1,d:40294,d:rap_hip_hop,d:1
245,h:sempre_foi_assim_2008,1,d:42759,d:r_b,d:1
245,h:08_djas_di_street_krew_2008_dj_k_l_feat_dj_master_g_sem_txoru,1,d:43371,d:outro,d:1
245,h:freestyle_dj_shark_ft_2pac_50cent_justin_timberlake,1,d:39426,d:electronica_dance,d:1
245,h:dj_shark_remember_2007,1,d:39426,d:electronica_dance,d:1
245,h:dilemas_da_vida_mk,1,d:37618,d:outro,d:1
245,h:kjr_diurne_dih_a_o_fumo_hiphop_streetz,1,d:43921,d:rap_hip_hop,d:1
245,h:positive_ft_real_mc_mentalizado_azteka_festa_e_nossa,1,d:38025,d:outro,d:1
245,h:stealth_mudana_a_beat,1,d:39472,d:rap_hip_hop,d:1
245,h:mortex_dominusfamilia_underground_ii,1,d:37170,d:rap_hip_hop,d:1
245,h:calabria_mix_ed,1,d:42939,d:electronica_dance,d:1
245,h:sou_o_que_quiseres_mk,1,d:37618,d:outro,d:1
245,h:dj_dom_i_miss_you,1,d:37761,d:electronica_dance,d:1
245,h:objectivo_final,1,d:39803,d:rap_hip_hop,d:1
245,h:movimento_ft_dimeu,1,d:39449,d:rap_hip_hop,d:1
245,h:declaraa_a_o_de_amor,1,d:42590,d:rap_hip_hop,d:0
245,h:revoltado_eu_faa_o_hiphop_mixtape_poet,1,d:33754,d:rap_hip_hop,d:1
245,h:aleca_johnny_blaze_mais_tu_perdest,1,d:43527,d:rap_hip_hop,d:0
245,h:kero_t_pra_mim,1,d:37917,d:rap_hip_hop,d:0
245,h:o_meu_diario_fugitivo_ft_caramelo,1,d:43524,d:rap_hip_hop,d:1
245,h:distinto_ft_major_eterna_amada,1,d:38666,d:rap_hip_hop,d:1
245,h:hoz_ft_higuitta_kritiko_vidas,1,d:35913,d:rap_hip_hop,d:0
245,h:jo_yo_sabes_o_que_vales_prod_xoye,1,d:7106,d:null,d:0
245,h:fuck_side_j_incompleto_hugo_ge_puto_mk,1,d:38987,d:rap_hip_hop,d:0
245,h:um_dos_meus_loops_com_delacruz,1,d:34019,d:outro,d:1
245,h:reggaeton_beat_produced_da_veiga,1,d:42337,d:rap_hip_hop,d:1
245,h:amor_emocional_kutegash_produa_a_es_2008,1,d:41145,d:outro,d:1
245,h:tu_a_s,1,d:42116,d:rap_hip_hop,d:1
245,h:falar_de_mim_a_fa_cil,1,d:40811,d:rap_hip_hop,d:0
245,h:for_my_lady_2008_dj_drix,1,d:40059,d:outro,d:1
245,h:criminal_g_la_grimas,1,d:36402,d:rap_hip_hop,d:1
245,h:infiltrado_ft_inato_onde_anda_a_policia_1,1,d:41685,d:rap_hip_hop,d:1
245,h:volta_para_mim_ft_sofia_2008,1,d:41145,d:outro,d:1
245,h:asher_momentos_da_vida_promo_2007,1,d:37127,d:rap_hip_hop,d:0
245,h:joana_homenagem,1,d:41587,d:rap_hip_hop,d:1
245,h:tamawitah_es_essencial,1,d:37127,d:rap_hip_hop,d:1
245,h:royal_ma_fia_novos_tempos,1,d:38562,d:rap_hip_hop,d:1
245,h:beat_mafiacrew_mp3,1,d:38041,d:rap_hip_hop,d:1
245,h:o_amor_a_raro,1,d:40811,d:rap_hip_hop,d:0
245,h:conselhos_maus_ze_e_miker,1,d:40437,d:rap_hip_hop,d:0
245,h:na_o_ha_mais_amor_ft_ikaruz_ntk,1,d:43474,d:r_b,d:1
245,h:ikaruz_ntk_ft_dianna_eu_preciso_de_ti_2008,1,d:43297,d:r_b,d:1
245,h:foi_como_calhou_ft_spm_mrk,1,d:40346,d:outro,d:1
245,h:princesa_quero_te_aqui,1,d:40811,d:rap_hip_hop,d:0
245,h:foi_assim_1,1,d:40811,d:rap_hip_hop,d:0
245,h:mais_um_dia_de_school,1,d:40521,d:outro,d:1
245,h:amor_sem_dilemas_ft_rookie_m2_2008,1,d:41145,d:outro,d:1
245,h:como_foste_capaz_ft_spm,1,d:40346,d:outro,d:1
245,h:pode_crer,1,d:37364,d:rap_hip_hop,d:0
