user,item,rating,region:cluster1,region:na
15921,h:39505,1,1,0
774,h:6391,1,1,0
12021,h:1032,1,1,0
16925,h:568,1,1,0
1876,h:18777,1,1,0
9368,h:103,1,1,0
9889,h:302,1,1,0
5417,h:528,1,1,0
3294,h:7918,1,1,0
376,h:6226,1,1,0
5953,h:22076,1,1,0
3073,h:7870,1,1,0
17890,h:616,1,1,0
4544,h:9072,1,1,0
5303,h:10622,1,1,0
14168,h:22992,1,1,0
16145,h:8416,1,1,0
6305,h:30658,1,1,0
7462,h:1447,1,1,0
7409,h:3597,1,1,0
5370,h:4663,1,1,0
8454,h:7221,1,1,0
15970,h:6062,1,1,0
122,h:20,1,1,0
9257,h:18008,1,1,0
2285,h:12987,1,1,0
8931,h:150,1,1,0
3870,h:19,1,1,0
1681,h:875,1,1,0
7918,h:156,1,1,0
17145,h:21248,1,1,0
1901,h:4973,1,1,0
6514,h:1799,1,1,0
14571,h:9325,1,1,0
5708,h:13045,1,1,0
13930,h:772,1,1,0
11749,h:3194,1,1,0
3063,h:1177,1,1,0
13273,h:40549,1,1,0
9692,h:4852,1,1,0
12035,h:21192,1,1,0
4209,h:5072,1,1,0
15824,h:41946,1,1,0
410,h:4010,1,1,0
3662,h:25819,1,1,0
10230,h:38148,1,1,0
13447,h:3448,1,1,0
4506,h:874,1,1,0
8033,h:14,1,1,0
1620,h:17222,1,1,0
1333,h:4930,1,1,0
14778,h:162,1,1,0
15693,h:4169,1,1,0
1242,h:14644,1,1,0
16799,h:9589,1,1,0
5542,h:160,1,1,0
11319,h:1638,1,1,0
16349,h:374,1,1,0
3654,h:14,1,1,0
14862,h:17233,1,1,0
9652,h:23,1,1,0
17559,h:27302,1,1,0
4961,h:788,1,1,0
6101,h:509,1,1,0
1136,h:13794,1,1,0
15287,h:31150,1,1,0
13967,h:3381,1,1,0
9970,h:57,1,1,0
6944,h:34143,1,1,0
15571,h:1885,1,1,0
11149,h:28962,1,1,0
1396,h:3620,1,1,0
8471,h:19561,1,1,0
15266,h:4018,1,1,0
2827,h:3416,1,1,0
11013,h:5563,1,1,0
9934,h:453,1,1,0
13333,h:29420,1,1,0
6081,h:32661,1,1,0
48,h:1177,1,1,0
6656,h:33686,1,1,0
11307,h:26782,1,1,0
8025,h:13172,1,1,0
5410,h:12875,1,1,0
10128,h:38050,1,1,0
422,h:6844,1,1,0
12412,h:36889,1,1,0
17330,h:1802,1,1,0
8068,h:6011,1,1,0
15143,h:25973,1,1,0
8553,h:3649,1,1,0
17065,h:3877,1,1,0
1840,h:18535,1,1,0
2994,h:4289,1,1,0
12361,h:6206,1,1,0
1865,h:3445,1,1,0
6012,h:3448,1,1,0
7944,h:7198,1,1,0
1670,h:17515,1,1,0
10513,h:14839,1,1,0
17706,h:88,1,1,0
14600,h:9954,1,1,0
15111,h:738,1,1,0
12143,h:2043,1,1,0
8506,h:35619,1,1,0
1323,h:14493,1,1,0
17744,h:1890,1,1,0
4970,h:30175,1,1,0
1235,h:156,1,1,0
1236,h:14615,1,1,0
9259,h:249,1,1,0
9394,h:22449,1,1,0
15071,h:86,1,1,0
14969,h:13414,1,1,0
17055,h:3885,1,1,0
687,h:1647,1,1,0
12986,h:31517,1,1,0
4397,h:14223,1,1,0
16925,h:7670,1,1,0
14895,h:6709,1,1,0
602,h:1269,1,1,0
12573,h:20576,1,1,0
870,h:58,1,1,0
9203,h:5297,1,1,0
15250,h:4703,1,1,0
3868,h:10840,1,1,0
11660,h:1638,1,1,0
16876,h:2326,1,1,0
17131,h:9391,1,1,0
13856,h:40932,1,1,0
14317,h:5905,1,1,0
1880,h:405,1,1,0
8554,h:870,1,1,0
11778,h:4444,1,1,0
4102,h:6794,1,1,0
13524,h:40717,1,1,0
13124,h:264,1,1,0
4348,h:3317,1,1,0
4734,h:507,1,1,0
8260,h:42,1,1,0
15833,h:9930,1,1,0
15664,h:4420,1,1,0
16604,h:24288,1,1,0
4970,h:5339,1,1,0
17716,h:4030,1,1,0
8556,h:1209,1,1,0
10539,h:2976,1,1,0
10287,h:15892,1,1,0
438,h:6993,1,1,0
8512,h:22793,1,1,0
1346,h:9617,1,1,0
294,h:1,1,1,0
3701,h:11244,1,1,0
4417,h:14633,1,1,0
1154,h:1873,1,1,0
6266,h:23744,1,1,0
16428,h:1269,1,1,0
17823,h:2787,1,1,0
3165,h:833,1,1,0
3521,h:1217,1,1,0
1282,h:853,1,1,0
12716,h:720,1,1,0
11529,h:235,1,1,0
2445,h:843,1,1,0
6687,h:4005,1,1,0
17351,h:156,1,1,0
12105,h:20384,1,1,0
991,h:784,1,1,0
3525,h:1039,1,1,0
17993,h:3143,1,1,0
1884,h:11636,1,1,0
9920,h:37862,1,1,0
11081,h:11,1,1,0
1486,h:16410,1,1,0
3910,h:13126,1,1,0
10392,h:3461,1,1,0
12563,h:14280,1,1,0
14518,h:6254,1,1,0
15491,h:2360,1,1,0
17338,h:42697,1,1,0
5204,h:3554,1,1,0
9055,h:198,1,1,0
1259,h:5458,1,1,0
10589,h:7881,1,1,0
16314,h:1407,1,1,0
17142,h:2670,1,1,0
60,h:1541,1,1,0
6428,h:4568,1,1,0
5288,h:4879,1,1,0
12720,h:40171,1,1,0
1786,h:18307,1,1,0
16141,h:2499,1,1,0
2133,h:5745,1,1,0
2008,h:705,1,1,0
8513,h:5856,1,1,0
8841,h:10091,1,1,0
11218,h:2690,1,1,0
3689,h:19676,1,1,0
12241,h:15638,1,1,0
15625,h:41684,1,1,0
2171,h:3641,1,1,0
4206,h:12013,1,1,0
17435,h:41353,1,1,0
16499,h:4312,1,1,0
8364,h:187,1,1,0
8684,h:6938,1,1,0
15698,h:16108,1,1,0
7310,h:34724,1,1,0
9324,h:26663,1,1,0
16811,h:260,1,1,0
3595,h:16590,1,1,0
