SESSIONID,REQUESTEDURL,rating,REQUESTMONTH,day,hour,eps10,eps300,eps001
1228848,h:23558,1,1,d:27,d:13,d:154,d:2,d:223
1263518,h:9310,1,1,d:27,d:14,d:69,d:2,d:98
1860566,h:233693,1,1,d:27,d:15,d:232,d:2,d:339
1140612,h:4432,1,1,d:27,d:15,d:197,d:5,d:286
1078124,h:11492,1,1,d:27,d:15,d:17,d:2,d:263
1177145,h:7620,1,1,d:27,d:16,d:58,d:1,d:81
1860976,h:31710,1,1,d:27,d:16,d:103,d:2,d:145
1130154,h:46717,1,1,d:27,d:16,d:162,d:2,d:235
1244972,h:11195,1,3,d:19,d:11,d:35,d:2,d:42
1021098,h:11138,1,1,d:27,d:17,d:45,d:7,d:59
1307644,h:13909,1,1,d:27,d:17,d:12,d:1,d:340
1045890,h:64,1,1,d:27,d:18,d:32,d:2,d:215
1189899,h:64,1,1,d:27,d:18,d:17,d:2,d:61
1860566,h:16642,1,1,d:27,d:19,d:232,d:2,d:339
1121180,h:2297,1,1,d:27,d:19,d:17,d:2,d:19
1305398,h:32163,1,1,d:27,d:19,d:11,d:1,d:33
1004927,h:9822,1,3,d:19,d:11,d:72,d:2,d:101
1542455,h:126114,1,1,d:27,d:19,d:24,d:5,d:28
1242264,h:3104,1,3,d:19,d:11,d:45,d:7,d:59
1265146,h:5222,1,1,d:27,d:19,d:11,d:1,d:341
1321528,h:7284,1,1,d:27,d:19,d:218,d:2,d:317
1860566,h:169273,1,1,d:27,d:20,d:232,d:2,d:339
1309930,h:43951,1,1,d:27,d:20,d:62,d:1,d:86
1212834,h:14098,1,1,d:27,d:18,d:11,d:1,d:34
1042194,h:31710,1,1,d:27,d:20,d:72,d:2,d:101
1694392,h:6559,1,1,d:27,d:20,d:209,d:22,d:305
1058160,h:7284,1,1,d:27,d:21,d:17,d:2,d:19
1129012,h:16642,1,1,d:27,d:20,d:127,d:2,d:184
1013176,h:109436,1,12,d:10,d:4,d:32,d:2,d:215
1268206,h:7284,1,3,d:19,d:12,d:233,d:27,d:342
1081822,h:5222,1,3,d:19,d:12,d:23,d:1,d:343
1218030,h:5222,1,1,d:27,d:22,d:11,d:1,d:34
1013176,h:299957,1,12,d:10,d:7,d:32,d:2,d:215
1058722,h:60,1,1,d:27,d:22,d:45,d:7,d:59
1189899,h:4084,1,1,d:27,d:22,d:17,d:2,d:61
1110208,h:113441,1,1,d:27,d:23,d:140,d:1,d:205
1542455,h:7489,1,1,d:27,d:23,d:24,d:5,d:28
1844052,h:50547,1,1,d:27,d:21,d:116,d:2,d:332
1042194,h:16642,1,1,d:27,d:22,d:72,d:2,d:101
1136237,h:16098,1,1,d:27,d:23,d:163,d:2,d:236
1057857,h:60,1,3,d:19,d:13,d:234,d:21,d:344
1013176,h:12816,1,12,d:9,d:2,d:32,d:2,d:215
1320005,h:22081,1,1,d:27,d:21,d:33,d:1,d:40
1251107,h:173139,1,3,d:19,d:13,d:2,d:1,d:43
1731401,h:25610,1,1,d:28,d:0,d:77,d:2,d:109
1196223,h:60,1,1,d:28,d:1,d:235,d:2,d:345
1152090,h:11492,1,1,d:28,d:1,d:17,d:2,d:66
1028527,h:15889,1,3,d:19,d:13,d:231,d:2,d:337
1058722,h:11138,1,1,d:28,d:1,d:45,d:7,d:59
1690560,h:5359,1,1,d:27,d:23,d:32,d:2,d:38
1103939,h:5222,1,1,d:28,d:2,d:12,d:1,d:121
1129477,h:7491,1,1,d:28,d:2,d:24,d:5,d:28
1022239,h:924,1,1,d:28,d:0,d:17,d:2,d:19
1234204,h:5222,1,1,d:28,d:3,d:16,d:1,d:346
1066758,h:305983,1,1,d:28,d:3,d:17,d:2,d:142
1000003,h:168913,1,3,d:19,d:12,d:170,d:2,d:248
1147845,h:12004,1,1,d:28,d:3,d:6,d:1,d:6
1298581,h:103165,1,1,d:28,d:1,d:9,d:2,d:9
1032305,h:4202,1,1,d:28,d:4,d:17,d:2,d:19
1690560,h:912,1,1,d:28,d:3,d:32,d:2,d:38
1065815,h:64,1,1,d:28,d:4,d:32,d:2,d:38
1047217,h:62528,1,3,d:19,d:14,d:17,d:2,d:61
1122926,h:67706,1,1,d:28,d:5,d:123,d:2,d:177
1089307,h:13382,1,1,d:28,d:7,d:48,d:1,d:63
1244809,h:199590,1,12,d:11,d:7,d:147,d:17,d:212
1215773,h:2964,1,12,d:11,d:18,d:17,d:2,d:24
1691264,h:2968,1,1,d:28,d:8,d:144,d:2,d:209
1346931,h:28304,1,1,d:28,d:9,d:35,d:2,d:42
1106726,h:4432,1,3,d:19,d:15,d:86,d:1,d:120
1030821,h:60,1,12,d:9,d:15,d:192,d:1,d:278
1212834,h:51271,1,1,d:28,d:8,d:11,d:1,d:34
1145695,h:23558,1,12,d:9,d:17,d:147,d:17,d:212
1049101,h:19766,1,12,d:10,d:20,d:142,d:2,d:207
1021337,h:7696,1,12,d:24,d:3,d:17,d:2,d:166
1049101,h:34538,1,12,d:10,d:21,d:142,d:2,d:207
1346931,h:2297,1,1,d:28,d:13,d:35,d:2,d:42
1194172,h:228291,1,1,d:28,d:14,d:91,d:2,d:287
1111860,h:21948,1,1,d:28,d:14,d:17,d:2,d:66
1098518,h:138669,1,3,d:19,d:16,d:45,d:7,d:59
1860566,h:47014,1,1,d:28,d:15,d:232,d:2,d:339
1781387,h:60,1,1,d:28,d:16,d:208,d:21,d:304
1186440,h:207186,1,1,d:28,d:15,d:2,d:1,d:15
1254168,h:7620,1,3,d:19,d:16,d:236,d:2,d:347
1781387,h:5222,1,1,d:28,d:20,d:208,d:21,d:304
1872672,h:2297,1,1,d:28,d:20,d:9,d:2,d:9
1272532,h:62528,1,1,d:28,d:21,d:77,d:2,d:201
1126145,h:7284,1,1,d:28,d:21,d:237,d:2,d:348
1060056,h:54273,1,3,d:19,d:17,d:197,d:5,d:286
1306327,h:55937,1,1,d:28,d:20,d:90,d:11,d:310
1024622,h:9134,1,1,d:28,d:22,d:238,d:2,d:349
1844052,h:23245,1,1,d:28,d:22,d:116,d:2,d:332
1346763,h:9822,1,12,d:9,d:5,d:17,d:2,d:24
1122926,h:219530,1,1,d:28,d:23,d:123,d:2,d:177
1311304,h:7620,1,1,d:28,d:23,d:151,d:1,d:219
1208590,h:2297,1,12,d:9,d:12,d:32,d:2,d:38
1122926,h:75929,1,12,d:8,d:22,d:123,d:2,d:177
1095635,h:10936,1,12,d:10,d:18,d:17,d:2,d:44
1018143,h:774138,1,1,d:28,d:22,d:17,d:2,d:114
1066758,h:11473,1,1,d:28,d:23,d:17,d:2,d:142
1009037,h:280373,1,1,d:29,d:1,d:96,d:2,d:135
1120912,h:227468,1,1,d:29,d:0,d:239,d:2,d:350
1014140,h:43947,1,1,d:29,d:1,d:18,d:1,d:20
1044579,h:9751,1,3,d:19,d:17,d:102,d:2,d:144
1695686,h:60,1,1,d:29,d:1,d:24,d:5,d:28
1872672,h:29488,1,1,d:29,d:2,d:9,d:2,d:9
1050113,h:20522,1,1,d:29,d:0,d:17,d:2,d:66
1253802,h:10935,1,1,d:29,d:3,d:240,d:1,d:351
1126145,h:15889,1,1,d:29,d:2,d:237,d:2,d:348
1095635,h:30875,1,12,d:12,d:0,d:17,d:2,d:44
1215773,h:12004,1,1,d:29,d:4,d:17,d:2,d:24
1208590,h:32679,1,3,d:18,d:13,d:32,d:2,d:38
1148130,h:2909,1,12,d:10,d:17,d:148,d:2,d:216
1622184,h:58227,1,1,d:29,d:6,d:11,d:1,d:34
1691264,h:2968,1,1,d:29,d:6,d:144,d:2,d:209
1121864,h:6346,1,12,d:10,d:20,d:17,d:2,d:19
1023209,h:11492,1,1,d:29,d:8,d:17,d:2,d:89
1860566,h:351130,1,1,d:29,d:7,d:232,d:2,d:339
1023209,h:128273,1,1,d:29,d:9,d:17,d:2,d:89
1080591,h:14046,1,1,d:29,d:7,d:11,d:1,d:299
1308163,h:9822,1,1,d:29,d:9,d:17,d:2,d:142
1103939,h:19936,1,1,d:29,d:9,d:12,d:1,d:121
1050113,h:5222,1,3,d:19,d:19,d:17,d:2,d:66
1215773,h:2964,1,1,d:29,d:10,d:17,d:2,d:24
1322617,h:47981,1,1,d:29,d:11,d:178,d:2,d:258
1151563,h:2297,1,1,d:29,d:11,d:157,d:2,d:227
1095635,h:8999,1,12,d:24,d:1,d:17,d:2,d:44
1882988,h:851361,1,3,d:19,d:19,d:18,d:1,d:20
1037321,h:29488,1,1,d:29,d:12,d:241,d:7,d:352
1243179,h:32242,1,12,d:11,d:23,d:110,d:5,d:156
1263395,h:525337,1,3,d:19,d:18,d:18,d:1,d:20
1060683,h:7620,1,1,d:29,d:15,d:6,d:1,d:6
1187317,h:15889,1,3,d:19,d:19,d:126,d:15,d:182
1037321,h:32163,1,1,d:29,d:14,d:241,d:7,d:352
1361811,h:17487,1,1,d:29,d:14,d:17,d:2,d:24
1199653,h:2964,1,1,d:29,d:15,d:72,d:2,d:101
1201753,h:54379,1,3,d:19,d:18,d:18,d:1,d:20
1312682,h:2297,1,1,d:29,d:15,d:82,d:2,d:116
1253876,h:15889,1,12,d:26,d:15,d:2,d:1,d:15
1046720,h:28304,1,1,d:29,d:16,d:45,d:7,d:59
1118742,h:67931,1,1,d:29,d:17,d:17,d:2,d:61
1277438,h:124942,1,12,d:11,d:2,d:12,d:1,d:39
1295415,h:12004,1,1,d:29,d:18,d:17,d:2,d:24
1136237,h:11492,1,1,d:29,d:21,d:163,d:2,d:236
1013176,h:195281,1,1,d:29,d:20,d:32,d:2,d:215
1200048,h:2297,1,3,d:19,d:20,d:242,d:2,d:353
1065815,h:7489,1,1,d:30,d:0,d:32,d:2,d:38
1295415,h:7284,1,1,d:30,d:1,d:17,d:2,d:24
1245890,h:4700,1,1,d:30,d:2,d:11,d:1,d:168
1153585,h:60,1,1,d:30,d:2,d:38,d:2,d:47
1622184,h:12004,1,1,d:30,d:2,d:11,d:1,d:34
1361811,h:11492,1,1,d:30,d:3,d:17,d:2,d:24
1065991,h:398360,1,3,d:19,d:20,d:39,d:1,d:48
1237034,h:8449,1,1,d:30,d:3,d:48,d:1,d:63
1116648,h:7491,1,1,d:30,d:5,d:24,d:5,d:354
1100030,h:11138,1,1,d:30,d:5,d:221,d:7,d:322
1083727,h:11195,1,1,d:30,d:6,d:225,d:25,d:327
1079971,h:7620,1,1,d:30,d:8,d:16,d:1,d:273
1189900,h:7284,1,1,d:30,d:9,d:17,d:2,d:61
1060683,h:37127,1,1,d:30,d:7,d:6,d:1,d:6
1189900,h:9822,1,1,d:30,d:10,d:17,d:2,d:61
1311932,h:157566,1,1,d:30,d:10,d:41,d:2,d:338
1076677,h:507498,1,3,d:19,d:19,d:2,d:1,d:43
1208590,h:46717,1,1,d:30,d:12,d:32,d:2,d:38
1047217,h:33767,1,1,d:30,d:12,d:17,d:2,d:61
1004927,h:5776,1,1,d:30,d:12,d:72,d:2,d:101
1051901,h:171294,1,3,d:19,d:19,d:243,d:2,d:355
1122926,h:11492,1,1,d:30,d:12,d:123,d:2,d:177
1189900,h:3104,1,1,d:30,d:13,d:17,d:2,d:61
1019915,h:257186,1,1,d:30,d:12,d:186,d:2,d:271
1042194,h:16642,1,1,d:30,d:13,d:72,d:2,d:101
1148130,h:194928,1,12,d:9,d:0,d:148,d:2,d:216
1049133,h:60,1,1,d:30,d:14,d:110,d:5,d:156
1272452,h:7543,1,1,d:30,d:13,d:204,d:2,d:296
1023153,h:9310,1,3,d:19,d:21,d:41,d:2,d:238
1284001,h:7489,1,1,d:30,d:13,d:244,d:28,d:356
1059955,h:4432,1,3,d:19,d:15,d:101,d:2,d:143
1189900,h:64,1,1,d:30,d:17,d:17,d:2,d:61
1243128,h:3104,1,1,d:30,d:17,d:223,d:1,d:325
1263568,h:4084,1,1,d:30,d:18,d:101,d:2,d:143
1218995,h:13909,1,1,d:30,d:17,d:144,d:2,d:209
1643387,h:7491,1,1,d:30,d:18,d:190,d:2,d:276
1187317,h:60,1,3,d:19,d:15,d:126,d:15,d:182
1095174,h:47021,1,1,d:30,d:19,d:116,d:2,d:186
1243128,h:23558,1,1,d:30,d:21,d:223,d:1,d:325
1234231,h:84899,1,1,d:30,d:19,d:229,d:26,d:335
1072864,h:11138,1,1,d:30,d:23,d:16,d:1,d:90
