SESSIONID,USERID,REQUESTMONTH,REQUESTEDURL,day,hour,eps10,eps300,eps001
1030290,1030290,4,h:955969,d:21,d:17,d:1,d:1,d:1
2046311,2046311,4,h:15682,d:21,d:18,d:2,d:1,d:2
1243334,1243334,4,h:989443,d:21,d:18,d:3,d:1,d:3
1051536,1051536,4,h:503306,d:21,d:18,d:4,d:2,d:4
1096995,1096995,4,h:23558,d:21,d:16,d:5,d:2,d:5
1060683,1060683,4,h:12004,d:21,d:18,d:6,d:1,d:6
1706083,1706083,4,h:12004,d:21,d:18,d:7,d:2,d:7
1292468,1292468,4,h:64,d:21,d:17,d:8,d:2,d:8
1352367,1352367,4,h:98352,d:21,d:18,d:6,d:1,d:6
1014487,1014487,4,h:652144,d:21,d:16,d:9,d:2,d:9
1394481,1394481,4,h:4432,d:21,d:18,d:10,d:1,d:10
1064795,1064795,4,h:12004,d:21,d:18,d:11,d:1,d:11
1189306,1189306,4,h:230896,d:21,d:18,d:2,d:1,d:2
2143451,2143451,4,h:380645,d:21,d:18,d:12,d:1,d:12
1462306,1462306,4,h:5222,d:21,d:18,d:13,d:2,d:13
1208936,1208936,4,h:1046673,d:21,d:17,d:14,d:2,d:14
2145529,2145529,4,h:176175,d:21,d:16,d:2,d:1,d:15
1307252,1307252,4,h:77014,d:21,d:18,d:2,d:1,d:16
1683288,1683288,4,h:27519,d:21,d:19,d:15,d:3,d:17
1462306,1462306,4,h:5222,d:21,d:18,d:13,d:2,d:13
1093668,1093668,4,h:5222,d:21,d:18,d:16,d:1,d:18
1093668,1093668,4,h:5222,d:21,d:18,d:16,d:1,d:18
1346119,1346119,12,h:78479,d:9,d:2,d:17,d:2,d:19
1178331,1178331,4,h:231550,d:21,d:18,d:18,d:1,d:20
1260040,1260040,4,h:11138,d:21,d:17,d:19,d:2,d:21
1005284,1005284,4,h:884725,d:21,d:19,d:20,d:2,d:22
1759951,1759951,4,h:19702,d:21,d:18,d:21,d:2,d:23
1644301,1644301,4,h:18006,d:21,d:19,d:2,d:1,d:15
1382500,1382500,4,h:18006,d:21,d:18,d:17,d:2,d:24
1104942,1104942,4,h:431011,d:21,d:19,d:12,d:1,d:25
1186133,1186133,4,h:54327,d:21,d:17,d:18,d:1,d:20
1226379,1226379,4,h:190625,d:21,d:19,d:2,d:1,d:2
1064557,1064557,4,h:11138,d:21,d:19,d:22,d:4,d:26
1346427,1346427,4,h:562,d:21,d:17,d:23,d:1,d:27
1157471,1157471,4,h:12408,d:21,d:17,d:24,d:5,d:28
1394481,1394481,4,h:4432,d:21,d:18,d:10,d:1,d:10
1252403,1252403,4,h:333484,d:21,d:17,d:1,d:1,d:1
1026854,1026854,4,h:2297,d:21,d:19,d:25,d:2,d:29
1064557,1064557,4,h:11138,d:21,d:19,d:22,d:4,d:26
1660045,1660045,4,h:32679,d:21,d:16,d:26,d:2,d:30
1052333,1052333,4,h:5222,d:21,d:19,d:6,d:1,d:6
1425226,1425226,4,h:12949,d:21,d:18,d:2,d:1,d:2
1052333,1052333,4,h:5222,d:21,d:19,d:6,d:1,d:6
1107750,1107750,4,h:9822,d:21,d:19,d:27,d:1,d:31
2143422,2143422,4,h:20073,d:21,d:18,d:28,d:2,d:32
1030895,1030895,4,h:129248,d:21,d:18,d:1,d:1,d:1
2010434,2010434,4,h:11138,d:21,d:19,d:11,d:1,d:33
2047020,2047020,4,h:212815,d:21,d:18,d:18,d:1,d:20
1059394,1059394,4,h:5222,d:21,d:19,d:11,d:1,d:34
2143546,2143546,4,h:229634,d:21,d:17,d:29,d:2,d:35
2145459,2145459,4,h:19844,d:21,d:17,d:30,d:2,d:36
1268359,1268359,3,h:54318,d:18,d:8,d:31,d:6,d:37
1222819,1222819,4,h:16436,d:21,d:17,d:32,d:2,d:38
1277438,1277438,4,h:4700,d:21,d:20,d:12,d:1,d:39
1320005,1320005,4,h:22081,d:21,d:18,d:33,d:1,d:40
1245234,1245234,4,h:15889,d:21,d:19,d:34,d:2,d:41
1108497,1108497,4,h:207165,d:21,d:17,d:18,d:1,d:20
1683288,1683288,4,h:3570,d:21,d:19,d:15,d:3,d:17
1096906,1096906,4,h:601457,d:21,d:19,d:2,d:1,d:2
1879953,1879953,4,h:4432,d:21,d:19,d:35,d:2,d:42
1167398,1167398,4,h:209649,d:21,d:19,d:18,d:1,d:20
1178331,1178331,4,h:50809,d:21,d:20,d:18,d:1,d:20
1839831,1839831,4,h:169601,d:21,d:19,d:2,d:1,d:43
1839831,1839831,4,h:169601,d:21,d:19,d:2,d:1,d:43
1032688,1032688,4,h:349625,d:21,d:19,d:17,d:2,d:44
1003137,1003137,4,h:21990,d:21,d:19,d:32,d:2,d:38
1011171,1011171,4,h:7489,d:21,d:19,d:4,d:2,d:4
2147172,2147172,4,h:4432,d:21,d:19,d:35,d:2,d:42
1127067,1127067,4,h:7491,d:21,d:20,d:36,d:2,d:45
1665532,1665532,4,h:3570,d:21,d:20,d:37,d:2,d:46
1346427,1346427,4,h:3570,d:21,d:20,d:23,d:1,d:27
1248751,1248751,4,h:7491,d:21,d:20,d:24,d:5,d:28
2011711,2011711,4,h:375030,d:21,d:20,d:38,d:2,d:47
1065991,1065991,4,h:214758,d:21,d:21,d:39,d:1,d:48
1104585,1104585,4,h:842316,d:21,d:21,d:2,d:1,d:49
1260040,1260040,4,h:5222,d:21,d:20,d:19,d:2,d:21
2145752,2145752,4,h:43942,d:21,d:21,d:40,d:1,d:50
1243125,1243125,4,h:43942,d:21,d:21,d:40,d:1,d:50
1361670,1361670,4,h:560953,d:21,d:20,d:6,d:1,d:6
1665532,1665532,4,h:562,d:21,d:21,d:37,d:2,d:46
1940964,1940964,4,h:469624,d:21,d:19,d:2,d:1,d:51
1361670,1361670,4,h:733698,d:22,d:2,d:6,d:1,d:6
1048722,1048722,12,h:157566,d:25,d:12,d:41,d:2,d:52
1129399,1129399,4,h:72431,d:21,d:21,d:2,d:1,d:2
1361670,1361670,4,h:190625,d:21,d:21,d:6,d:1,d:6
1824450,1824450,4,h:84329,d:21,d:19,d:42,d:1,d:53
1256862,1256862,4,h:989443,d:21,d:18,d:18,d:1,d:20
1083959,1083959,4,h:5222,d:21,d:21,d:11,d:1,d:54
1526739,1526739,4,h:169601,d:21,d:21,d:2,d:1,d:51
1879953,1879953,4,h:4300,d:21,d:21,d:35,d:2,d:42
1310412,1310412,4,h:9822,d:21,d:20,d:17,d:2,d:55
1237288,1237288,4,h:9822,d:21,d:20,d:2,d:1,d:2
1262871,1262871,4,h:460787,d:21,d:20,d:43,d:1,d:56
2143577,2143577,4,h:5446,d:21,d:18,d:17,d:2,d:57
1162602,1162602,4,h:285671,d:21,d:21,d:18,d:1,d:20
1295453,1295453,4,h:591438,d:21,d:20,d:2,d:1,d:16
1683288,1683288,4,h:675,d:21,d:21,d:15,d:3,d:17
1480414,1480414,4,h:12004,d:21,d:20,d:44,d:1,d:58
1294465,1294465,4,h:970898,d:21,d:21,d:1,d:1,d:1
1003659,1003659,4,h:72361,d:21,d:21,d:2,d:1,d:2
1124616,1124616,4,h:393973,d:21,d:21,d:2,d:1,d:43
1214165,1214165,4,h:12004,d:21,d:21,d:45,d:7,d:59
