[INFO ] 2017-09-29 14:50:16,568 -- WorkingPath: /Users/igorsantana/git/pibic/context-aware_data_sets/Movie_DePaulMovie/CARSKit.Workspace/
[INFO ] 2017-09-29 14:50:16,581 -- Your original rating data path: /Users/igorsantana/git/pibic/context-aware_data_sets/Movie_DePaulMovie/ratings.txt
[INFO ] 2017-09-29 14:50:16,581 -- Current working path: /Users/igorsantana/git/pibic/context-aware_data_sets/Movie_DePaulMovie/CARSKit.Workspace/
[WARN ] 2017-09-29 14:50:16,584 -- You rating data is in Compact format. CARSKit is working on transformation on the data format...
[INFO ] 2017-09-29 14:50:16,793 -- Data transformaton completed (from Compact to Binary format). See new rating file: /Users/igorsantana/git/pibic/context-aware_data_sets/Movie_DePaulMovie/CARSKit.Workspace/ratings_binary.txt
[INFO ] 2017-09-29 14:50:16,813 -- Dataset: ...ARSKit.Workspace/ratings_binary.txt
[INFO ] 2017-09-29 14:50:16,815 -- DataPath: /Users/igorsantana/git/pibic/context-aware_data_sets/Movie_DePaulMovie/CARSKit.Workspace/ratings_binary.txt
[INFO ] 2017-09-29 14:50:17,033 -- Rating data set has been successfully loaded.
[INFO ] 2017-09-29 14:50:17,052 -- 
/*********************************************************************************************************************
 *
 * Dataset: /Users/igorsantana/git/pibic/context-aware_data_sets/Movie_DePaulMovie/CARSKit.Workspace/ratings_binary.txt
 * 
 * Statistics of U-I-C Matrix:
 * User amount: 97
 * Item amount: 79
 * Rate amount: 5035
 * Context dimensions: 3 (companion, location, time)
 * Context conditions: 10 (companion: 4, location: 3, time: 3)
 * Context situations: 13
 * Data density: 1.82297330607391930000%
 * Scale distribution: [2.0 x 625, 4.0 x 1209, 1.0 x 829, 5.0 x 1367, 3.0 x 1005]
 * Average value of all ratings: 3.329688
 * Standard deviation of all ratings: 1.414732
 * Mode of all rating values: 5.000000
 * Median of all rating values: 4.000000
 *
 *********************************************************************************************************************/
[INFO ] 2017-09-29 14:50:17,057 -- With Setup: cv -k 2 -p on --rand-seed 1 --test-view all
[DEBUG] 2017-09-29 14:50:17,082 -- Fold [1]: training amount: 2514, test amount: 2515
[DEBUG] 2017-09-29 14:50:17,249 -- Segmento encontrado: companion:alone
[DEBUG] 2017-09-29 14:50:17,249 -- Segmento encontrado: companion:family
[DEBUG] 2017-09-29 14:50:17,249 -- Segmento encontrado: companion:na
[DEBUG] 2017-09-29 14:50:17,249 -- Segmento encontrado: companion:partner
[DEBUG] 2017-09-29 14:50:17,249 -- Segmento encontrado: location:cinema
[DEBUG] 2017-09-29 14:50:17,249 -- Segmento encontrado: location:home
[DEBUG] 2017-09-29 14:50:17,249 -- Segmento encontrado: location:na
[DEBUG] 2017-09-29 14:50:17,249 -- Segmento encontrado: time:na
[DEBUG] 2017-09-29 14:50:17,249 -- Segmento encontrado: time:weekday
[DEBUG] 2017-09-29 14:50:17,249 -- Segmento encontrado: time:weekend
[DEBUG] 2017-09-29 14:50:17,250 -- Começada a execução do modelo inteiro do fold 1
[DEBUG] 2017-09-29 14:50:17,254 -- Fold [1]: training amount: 1257, test amount: 1257
[DEBUG] 2017-09-29 14:50:17,421 -- BPR fold [11] iter 1: loss = 7010.561, delta_loss = -7010.561, learn_rate = 0.002
[DEBUG] 2017-09-29 14:50:17,421 -- BPR fold [1] iter 1: loss = 7047.7764, delta_loss = -7047.7764, learn_rate = 0.002
[DEBUG] 2017-09-29 14:50:17,452 -- BPR fold [11] iter 2: loss = 6201.453, delta_loss = 809.1078, learn_rate = 0.002
[DEBUG] 2017-09-29 14:50:17,460 -- BPR fold [1] iter 2: loss = 6362.7437, delta_loss = 685.0329, learn_rate = 0.002
[DEBUG] 2017-09-29 14:50:17,518 -- BPR fold [11] iter 3: loss = 5833.527, delta_loss = 367.92636, learn_rate = 0.0021000002
[DEBUG] 2017-09-29 14:50:17,530 -- BPR fold [1] iter 3: loss = 5994.6045, delta_loss = 368.13892, learn_rate = 0.0021000002
[DEBUG] 2017-09-29 14:50:17,586 -- BPR fold [11] iter 4: loss = 5582.0547, delta_loss = 251.4719, learn_rate = 0.002205
[DEBUG] 2017-09-29 14:50:17,596 -- BPR fold [1] iter 4: loss = 5778.42, delta_loss = 216.18468, learn_rate = 0.002205
[DEBUG] 2017-09-29 14:50:17,622 -- BPR fold [11] iter 5: loss = 5395.1074, delta_loss = 186.94719, learn_rate = 0.0023152502
[DEBUG] 2017-09-29 14:50:17,622 -- BPR fold [1] iter 5: loss = 5623.98, delta_loss = 154.43968, learn_rate = 0.0023152502
[DEBUG] 2017-09-29 14:50:17,628 -- BPR fold [11] iter 6: loss = 5224.301, delta_loss = 170.80661, learn_rate = 0.0024310127
[DEBUG] 2017-09-29 14:50:17,640 -- BPR fold [1] iter 6: loss = 5437.718, delta_loss = 186.2623, learn_rate = 0.0024310127
[DEBUG] 2017-09-29 14:50:17,645 -- BPR fold [11] iter 7: loss = 5071.662, delta_loss = 152.63873, learn_rate = 0.0025525633
[DEBUG] 2017-09-29 14:50:17,648 -- BPR fold [1] iter 7: loss = 5360.6147, delta_loss = 77.103294, learn_rate = 0.0025525633
[DEBUG] 2017-09-29 14:50:17,652 -- BPR fold [11] iter 8: loss = 4876.5703, delta_loss = 195.09201, learn_rate = 0.0026801913
[DEBUG] 2017-09-29 14:50:17,660 -- BPR fold [1] iter 8: loss = 5253.444, delta_loss = 107.170555, learn_rate = 0.0026801913
[DEBUG] 2017-09-29 14:50:17,663 -- BPR fold [11] iter 9: loss = 4780.751, delta_loss = 95.81946, learn_rate = 0.002814201
[DEBUG] 2017-09-29 14:50:17,668 -- BPR fold [1] iter 9: loss = 5172.201, delta_loss = 81.24307, learn_rate = 0.002814201
[DEBUG] 2017-09-29 14:50:17,669 -- BPR fold [11] iter 10: loss = 4720.665, delta_loss = 60.08559, learn_rate = 0.002954911
[DEBUG] 2017-09-29 14:50:17,675 -- BPR fold [1] iter 10: loss = 5094.476, delta_loss = 77.72501, learn_rate = 0.002954911
[DEBUG] 2017-09-29 14:50:17,676 -- BPR fold [11] iter 11: loss = 4540.655, delta_loss = 180.01024, learn_rate = 0.0031026567
[DEBUG] 2017-09-29 14:50:17,681 -- BPR fold [1] iter 11: loss = 4954.774, delta_loss = 139.70201, learn_rate = 0.0031026567
[DEBUG] 2017-09-29 14:50:17,682 -- BPR fold [11] iter 12: loss = 4429.392, delta_loss = 111.262726, learn_rate = 0.0032577894
[DEBUG] 2017-09-29 14:50:17,687 -- BPR fold [1] iter 12: loss = 4909.376, delta_loss = 45.398148, learn_rate = 0.0032577894
[DEBUG] 2017-09-29 14:50:17,688 -- BPR fold [11] iter 13: loss = 4342.6294, delta_loss = 86.7627, learn_rate = 0.003420679
[DEBUG] 2017-09-29 14:50:17,693 -- BPR fold [1] iter 13: loss = 4822.22, delta_loss = 87.155525, learn_rate = 0.003420679
[DEBUG] 2017-09-29 14:50:17,694 -- BPR fold [11] iter 14: loss = 4155.598, delta_loss = 187.0316, learn_rate = 0.0035917128
[DEBUG] 2017-09-29 14:50:17,699 -- BPR fold [1] iter 14: loss = 4734.5996, delta_loss = 87.62065, learn_rate = 0.0035917128
[DEBUG] 2017-09-29 14:50:17,699 -- BPR fold [11] iter 15: loss = 4074.4285, delta_loss = 81.16952, learn_rate = 0.0037712986
